,title,location,minimum_qual,preferred_qual,responsibilities,min_degree_req,pref_degree_req,min_work_exp_req,pref_work_exp_req,min_langs_req,pref_langs_req
342,AR/VR Product Designer - Facebook Reality Labs,"Redmond, WA","5+ years of experience in shipping consumer software products with user interfaces
A portfolio featuring examples of interaction, 3D, motion, visual, and prototyping work
Experience with AR and VR
Communication and presentation experience
Experience designing and leading in cross-functional environments
Knowledge of qualitative and quantitative methods for user research
Experience with Unity and Adobe Creative Suite","Experience with 3D software (C4D, Houdini, Maya, 3ds Max, Blender)
Experience defining product strategy and vision","Design compelling experiences for AR/VR driven by user scenarios and use cases
Synthesize broad and ambiguous business requirements and accomplish them through design
Help establish preliminary processes to align cross-functional teams
Contribute to strategic decisions, working with the Design, Research Science, and Executive teams
Design end-to-end flows and visuals, and individually contribute to the product and feature set
Create product-ready assets for internal rapid testing
Give and solicit feedback from others to raise the quality and craftsmanship of the product
Partner with product managers, engineers, user researchers, content strategists & QA, overseeing the implementation of the user experience from conception to launch
Articulate design decisions to various internal stakeholders
Advocate for product design within the Facebook AR/VR and throughout Facebook",None,None,5,0,None,None
343,"Manager, Production Engineering","New York, NY","5+ years of direct management experience in a technology role
BS or MS in Computer Science, Engineering, or a related technical discipline, or equivalent experience
Experience with systems, networking, and troubleshooting
Experience drafting and reviewing code
Experience with building teams and/or organizations, including hiring and managing performance
Communication and cross-collaboration experience",,"Support and lead engineers working on Facebook's products and services, at different layers of the stack, on challenges related to scalability, reliability, performance and efficiency of systems
Understand and contribute to technical architectures, capacity plans, tooling needs, automation plans, product launch plans and create comprehensive plans for prioritizing technical and resourcing challenges
Drive technical architecture discussions, even on subjects you haven't had direct experience working with
Develop lasting partnerships with product management, program management, network engineering, software engineering and other related groups to build and improve our ever-growing large-scale distributed infrastructure and product environment
Empower engineers to develop their careers, matching their strengths with projects tailored to their skill levels, long-term skill development, personalities, and work styles
Help build and enrich an inclusive work environment comprised of people from diverse backgrounds
Assess employee performance on an ongoing basis, address under-performance, and recognize and promote performance
Work closely with dedicated recruiting staff to expand the team including interviewing candidates, participating in conferences/events, and on-boarding new employees
Balance the need to “keep things running” with allocating time to long-term, high-impact projects",BS,None,5,0,None,None
344,"Manager, Electrical Engineering","Seattle, WA","BS, MS, or PhD in Electrical or Computer Systems Engineering.
Knowledge in Consumer Electronics with experience shipping multiple consumer products.
Experience in gaming controller and/or input devices.
10+ years of direct experience in electrical design.
Experience working with offshore partners.
Communication experience, with experience working with Product Design engineers and other hardware/software cross-functional functions.","Experience with haptics, touch, RF, batteries.","Bring a product from prototype to production.
Champion of engineering rigor in phase gate development. Create specs and KPIs and deliver to these requirements.
Work with cross-functional engineering managers and architects on hardware and software integration.
Partner closely with Mechanical Engineering and Industrial Design.
Grow team and careers of individual contributors through weekly and formal coaching and feedback.
Travel requirements: 10%.",PhD,None,10,0,None,None
345,Engineering Experience Analyst,"Menlo Park, CA","Bachelors Degree and 4+ years post-collegiate work experience doing quantitative analysis or Master or PhD with 2+ years work experience doing quantitative analysis
Analytical experience, with experience solving problems using data and providing business insights
2+ years of experience driving improvements with product teams or engineering teams through influence
2+ years of experience working with operations, product support
2+ years experience with data analysis leveraging SQL, Tableau, Qlik, Power BI, or other data visualization tools
Experience constructing interpersonal relationships across teams, communicate technical content and analytical insights to multiple audiences","Work experience in tech, finance, consulting or related industry
Experience at a software technology company
2+ years of experience in Python, R, Perl or other scripting language
Knowledge of statistics and mathematical concepts
Degrees in Computer Science, Mathematics, Statistics, or other tech or math related fields","Leverage operations and data expertise to define processes that improve the engineering experience for Facebook’s ads & business engineering teams
Explore engineering and customer experience data, develop metrics & goals, and ensure engineering priorities are data-driven and supporting short-term and long-term goals
Partner with Engineering, Sales Support, and embedded Product Experience Analytics to identify and drive opportunities to improve engineering efficiency and effectiveness
Define and execute projects that meaningfully shift core metrics in the positive direction. Operationalize and scale initiatives focused on engineering experience across multiple teams and organizations
Instill a focus on quality in the engineering culture by creating data driven recommendations that influence product teams to prioritize quality projects
Drive change through influence, and collaborating with a variety of cross-functional stakeholders
Design, develop, and test Engineering Excellence and Better Engineering related tools that help scale engineering improvements",PhD,None,4,2,SQL,Python
346,Product Manager - Consumer Hardware,"Redmond, WA","4+ years product management experience with 2+ years of experience on hardware platforms
Experience managing delivery of 1 or more hardware/software products
Experience managing and overseeing multiple on-going initiatives simultaneously","Degree in Mechanical Engineering, Electrical Engineering, Computer Science, or related field, or equivalent knowledge
Experience working in consumer devices
Experience working in the gaming industry
Experience delivering products with next-generation technology introduction","Own development of new and in-market hardware products.
Strategically evolve and grow existing products and services to constantly deliver a better user experience.
Identify immediate and/or upcoming user needs, then work with the team to develop a product plan that addresses them.
Manage hardware tradeoffs, spanning compute, battery, ergonomics, audio, displays, and optics.
Partner with software and experience teams to deliver on key use cases.
Manage collaboration and communication with other teams, both internal and external, to ensure teams have what they need and can work efficiently.
Collaborate with other teams inside Facebook to drive innovative changes.",None,None,4,0,None,None
347,Compensation Business Systems Manager,"Austin, TX","8+ years of industry experience in one or more of the following fields: Master Data Management, Information Management, System Administration, Corporate IT
2+ years of People Management experience
Experience in partnering cross-functionally with tech stakeholders to identify solutions that enhance and drive product roadmap
Experience in Excel, including experience building analyses and models
Project management experience, managing multiple IT initiatives, experience understanding and learning software packages and end-to-end business processes
Knowledge in relational databases and SQL","BS/BA in Economics, Finance, Engineering, Computer Science or related discipline
Experience working with Salesforce, Workday and Compensation Systems
Technical, hands-on experience in system administration or IT operations
Ability to adjust to rapidly changing business requirements, make decisions with limited information
Ability to prioritize and manage across multiple, often time-sensitive initiatives
Exceptional organizational, communication, leadership, and customer service skills","Provide the long-term strategy and roadmap to support the business to scale with information by driving the software development lifecycle
Apply deep business knowledge to evolve and develop compensation programs that inform long-term business decisions and priorities
Drive innovation on compensation products and processes to maximize the return and deliver world class user experience and influences design of large scale/complex compensation systems
Build and maintain a positive working relationship across cross-functional teams (Comp Business Partners, Engineering team, HRIS etc.) and regions to identify opportunities and support the business needs
Provide expertise based upon industry trends, new and advancing technology solutions, and best practices with a focus on scale, automation and user experience
Develop detailed, crisp business requirements and user stories that can be used to create product specifications and architecture for the product(s) and application
Partner with engineering teams throughout the product development life cycle and provide consultation and subject matter expertise on compensation
Influence design of large scale/complex compensation systems and strategy
Lead compensation program implementation, change management and measurement of program success
Drive results by tracking key operational metrics, identifying process improvement opportunities and delivering on strategic initiatives
Demonstrate the ability to manage multiple projects and meet stated customer-initiated deadlines while balancing the workload between in-house and outsourced resources
Initiate programs and policies to protect and improve the quality of compensation data, manage the gathering and documentation of technical requirements and processes
Manage the intake of all ad hoc reporting requests
Coordinate all aspects of the business lifecycle and implement a series of change control procedures",Master,BA,8,0,SQL,None
348,Product Designer - Spark AR Studio,"London, United Kingdom","Bachelor's degree in Design related field or experience
Experience communicating ideas and designs to multiple stakeholders
Ability to take ambiguous problems and create clear frameworks for how to tackle them
Experience crafting interactive design prototypes
Experience using design software like Sketch
A portfolio featuring both visual and interaction works","Bachelor's degree in interactive design, communication design or similar field
5+ years’ experience shipping immersive and compelling experiences
Experience designing for diverse groups of people (international audiences, multi-language localization, accessibility for people with disabilities, etc.)","Conceptualize and iterate on high-quality designs, build end-to-end flows and visuals and individually contribute to the product/feature set and to help communicate ideas
Give and solicit real-time feedback from other designers to continually raise the quality and craftsmanship of the product
Partner with PMs, engineers, researchers, content strategist & QA, overseeing the user experience from product conception to launch - as well as post-launch design support
Help establish and document preliminary processes and methodology to align cross-functional teams
Contribute to high-level strategic decisions with the rest of the product and executive teams
Contribute to defining interaction patterns for the AR creator product space
Quickly solve issues with your cross-functional leads
Clearly articulate design decisions to a vast set of internal stakeholders",Bachelor,Bachelor,0,5,None,None
349,"Firmware Test Engineer, Augmented Reality","Redmond, WA","Bachelor in Computer Engineering or Electrical Engineering
5+ years of software and test experience with at least 1 year experience similar to embedded systems
Knowledge with data acquisition systems and diagnostic equipment, such as oscilloscopes, bus analyzers, and power supplies
Knowledge with software testing methodologies","Experience with integration and testing for a complex system
Experience with low level operating systems, RTOS, UBOOT, or other bare-metal programming
Experience coding with peripherals such as UART, SPI, CSI-2, i2c, GPIO, USB, PCIE
Experience in real-time processing for computer vision and user interaction tasks, high-compute/throughput systems
Experience with FPGA and hardware evaluation boards, EDA design tools, and/or ISA simulators","Lead testbed architecture definition in coordination with cross-functional teams in order to streamline system testing, bring-up, and integration activities.
End-to-end firmware test infrastructure development to support testing of power-management, boot loaders, scheduling, RTOS and/or bare-metal implementations.
Lead team on testing approach and ensure test coverage across a wide range of technologies and areas -- including unit testing, integration testing, system testing, and regression testing.
Review firmware, hardware and IP architectures to ensure testability evaluate integration risk.
Develop software and related tools to automate testing of a large variety of interfaces, including PCIE, MIPI, USB, Wireless, QSPI, etc.
Support all phases of SoC development – including early architecture requirements definition for custom silicon, firmware architecture, implementation, simulation, FPGA debug, chip bring-up and support systems and software teams.",Bachelor,None,5,0,None,None
350,Image Quality & Optical Test Engineer,"Redmond, WA","Masters or Ph.D. degree in imaging science, optical science, physics or equivalent experience.
Experience with digital imaging systems and optical performance evaluation.
4+ years of experience working on image quality evaluation and management for imaging sensors, digital cameras or other imaging systems.
Experience with designing and implementing image quality test protocols, performing data analysis and generating reports.
Experience with programming in Python, C++ or other equivalent programming languages.","Experience with imaging testing lab management and test setup design and implementation.
Experience in CMOS image sensor technologies and evaluation.
Experience in optical components performance testing and evaluation.
Experience in computer vision metrics and techniques.
Experience designing and executing development projects with a design of experiment approach (DOE) to service, troubleshoot, and solve engineering problems.
Experience developing test stations for multi camera systems.
Experience developing hardware test solutions utilizing robotics/precision motion system design and programming with both internal and third-party.
Experience in advanced mathematics such as multi-dimensional transformations.","Establish and maintain all image quality and system performance specifications and test procedures.
Develop test stations and accompanying software infrastructure for AR/VR products.
Troubleshoot and debug test systems and automation solutions from a software and hardware perspective in full autonomy.
Identify and root cause image quality and performance issues.
Scope, schedule and organize, and perform testing in a timely manner and deliver robust test results to support development and evaluation.
Participate in systems test design and development.
Support imaging systems and sensors manufacturing and deployment at scale.",Master,None,4,0,"C++,Python",None
351,Production Engineer,"New York, NY","Engineering degree, or a related technical discipline, or equivalent work experience
Experience with operating systems and TCP/IP network fundamentals
Experience coding in higher-level languages (e.g., PHP, Python, C++, or Java)
Experience in configuration and maintenance of applications such as web servers, load balancers, relational databases, storage systems and messaging systems
Experience learning software, frameworks and APIs",BS or MS in Computer Science,"Own back-end services like our Hadoop data warehouses, front-end services like Messenger and Newsfeed, infrastructure components like our Memcache infrastructure, and everything in between
Write and review code, develop documentation and capacity plans, and debug the hardest problems, live, on some of the largest and most complex systems in the world
Together with your engineering team, you will share an on-call rotation and be an escalation contact for service incidents
Partner alongside the best engineers in the industry on the coolest stuff around, the code and systems you work on will be in production and used by billions of users all around the world",None,BS,0,0,"C++,Java,Python,PHP",None
352,"Research Intern, Machine Perception and Learning (PhD)","Redmond, WA","Currently has, or is in the process of obtaining, a PhD in the field of Computer Science, Computer Vision, Machine Learning, Robotics, Physics or related field
Interpersonal experience: cross-group and cross-culture collaboration
Must obtain work authorization in country of employment at the time of hire, and maintain ongoing work authorization during employment
Must be available for 3 month to 6 month internship between January 1, 2019 and December 31, 2019
Experience with statistical analysis of data and mathematical modeling
Experience with developing machine learning, Bayesian filtering, information theory, 3D geometry, optimization, system building, or physics based simulation
Experience in C++ or Python","Intent to return to degree-program after the completion of the internship
Experience with SLAM systems e.g. monocular, stereo, visual-inertial or RGBD
Experience in geometric computer vision, including tracking, visual-inertial odometry, sensor/display calibration, large-scale structure from motion or relocalization technologies
Experience working on modern deep-learning methods for self-supervised learning, federated learning, video-understanding, GANs, reinforcement learning, etc.
Background in optics or computational imaging
Experience in GPU programming such as CUDA
Broad understanding of the full machine vision pipeline from sensors to high-level algorithms
Proven track record of achieving significant results as demonstrated by grants, fellowships, patents, as well as first-authored publications at leading workshops or conferences such as CVPR, ECCV/ICCV, BMVC, NeurIPS, ICLR, ICRA, IROS, RSS or SIGGRAPH
Demonstrated software engineer experience via an internship, work experience, coding competitions, or widely used contributions in open source repositories (e.g. GitHub)","Research, develop and prototype advanced tightly integrated hardware and software technologies in the domain of tracking, 3D reconstruction, localization, SFM, calibration automation, Machine Perception, Deep Learning, state estimation etc.
Analyze and improve efficiency, accuracy, scalability and stability of currently deployed systems
Design and execution of algorithms
Prototyping, building and analysis of experimental systems
Collaboration with and support of other researchers across various disciplines
Communication of research agenda, progress and results",PhD,None,0,0,"C++,Python",None
353,Growth Marketing Manager,"Menlo Park, CA","5+ years of experience in managing other team members in a formal or informal capacity.
6+ years of experience in marketing, advertising or growth.
6+ years of experience managing projects.
6+ years of quantitative analysis experience.
2+ years of experience with SQL or other programming languages.
Experience initiating and driving projects to completion with minimal guidance.
Experience analyzing, interpreting, and leveraging data to make business decisions.
Experience communicating insights and ideas.","BS or MS in Engineering, Computer Science, Math, Physics, Statistics or related quantitative field.
Software development experience.
Internet Marketing experience.","Product Leadership Responsibilities:
Lead the ideation and execution of product changes that drive growth, partnering with Product Management, Engineering, Design, Content Strategy and Data Science
Establish shared vision across the company for growth product optimizations by building consensus on priorities leading to major product improvements
Define and analyze metrics that inform the success of products
Communicate details, updates and implementations across all stakeholders and teams with extreme attention to detail
Communicates and simplifies concepts to the audience's needs
Analytical Responsibilities:
Apply your expertise in quantitative analysis, data mining, and the presentation of data to see beyond the numbers and understand how our users interact with both our consumer and business products, identify growth opportunities, and execute on projects to drive growth and engagement
Product Growth Analysis:
Understanding ecosystems, user behaviors, and long-term trends
Identifying new levers to help move key metrics
Proposing what to build in the product roadmap
Data Driven Leadership:
Influencing product teams through presentation of data-based recommendations
Communicating state of business, experiment results, etc. to product teams
Spreading best practices for growth with product teams to drive impact
Product Marketing Responsibilities:
Understand the competitive landscape of products and Facebook’s relative position to inform the product growth strategy and design
Plan and lead cross-functional efforts to take known product optimizations and implement them in other places
Lead marketing efforts partnering with Product teams, to effectively promote high retention experiences globally
Drive multiple projects from strategy to execution in a fast-paced environment in an organized way
Work on offsite marketing channels like SEO, SEM, and email with product teams to grow acquisition and improve retention by reaching people when they do not yet have an account, or to bring people back",None,BS,5,0,SQL,None
354,"Technical Program Manager, Core Data Storage","Menlo Park, CA","B.S. in Computer Science or a related technical discipline, or equivalent experience.
7+ years of software engineering, systems engineering or technical product/program management experience.
Experience delivering tech programs or products from inception to delivery.
Knowledge of user needs, gathering requirements, and defining scope.
Experience operating autonomously across multiple teams, demonstrated critical thinking, and thought leadership.
Communication experience and experience working with technical management teams to develop systems, solutions, and products.
Organizational, coordination and multi-tasking experience.
Analytical and problem-solving experience with large-scale systems.
Experience establishing work relationships across multi-disciplinary teams and multiple partners in different time zones.","Experience working with machine fulfillment on Storage SKUs (T5 & T8 preferably).
Experience defining reliability and efficiency programs within new storage solutions.
Experience working with senior leaders to drive business decisions.
Experience with external facing production systems for high traffic websites and services.
Experience with designing new storage technologies and driving engineering teams towards execution.","Drive product vision and direction for our core data services, exhibiting strong strategy, execution, design, and analytics skills.
Build relationships across core data engineering teams and our core data customers to understand gaps within existing services.
Manage cross-functional infrastructure software engineering programs in a matrix organization covering a range of areas (storage, cache, client and various product teams).
Perform risk management and change management on projects.
Provide day-to-day coordination and quality assurance for projects and tasks.
Drive internal and external process improvements across multiple teams and functions.
Interface with Engineering and business owners for project requirements and scope.
Help drive product decisions to align with higher company initiatives.
Ongoing communication of plans, project status, milestones, issues, and risks to the stakeholders.",None,None,7,0,None,None
355,"Network Manager, Data Center","Menlo Park, CA","B.S. in Engineering or equivalent experience
3+ years experience managing an engineering team
5+ years of Networking or Software Engineering experience
4+ years of experience working with networking protocols including TCP/IP, MP-BGP, MPLS, ISIS, etc.
4+ years of experience working with Cisco and Juniper routers and switches
2+ years Software Engineering or Scripting experience with Python, Perl, C# or Go
Experience designing and maintaining servers, or network equipment
Knowledge of network hardware platforms and their specification in the data center space
Device configuration and administration automation experience
Time management and communication experience",,"Manage engineers working within our data center networking teams to build, scale, deploy and support our global network infrastructure
Responsible for people management of a team of engineers, providing performance reviews, continual feedback, coaching and career growth for direct reports
Help define, and drive regular development of an aggressive technical roadmap to meet the needs of the team, and partner teams
Be a hands-on manager with deep technical experience in networking, systems, hardware and software
Operate in a rapidly evolving environment, adapt quickly to new information, re-prioritize as needed
Manage engineers to strengths, enable, unblock, and grow talent through coaching and technical mentoring
Pro-actively identify resource needs, participate in recruiting efforts, and hiring to grow the team
Identify, cultivate and grow technical leaders",None,None,3,0,"Python,Go,C#",None
356,"Security Engineering Manager, Insider Threat Detection and Response","London, United Kingdom","Experience in at least one of PHP, Python, C, C++, or Java. Data science/engineering is a plus.
Experience in abuse/insider threat program management and development.
Experience recruiting, building, and leading technical teams, including performance management.
Experience leading large-scale operational teams in an arc of continuous maturity.
Experience leading and managing complex cross-functional programs.
Experience developing and delivering information on program status for executive leadership.
Experience translating technical concepts into language suitable for many audiences, including software engineers, business and technical leaders, and external security community members and press.
BA/BS in Computer Science or 8+ years work experience in a leadership and management capacity.",,"Lead a team of security engineers and managers who develop solutions to hunt, detect and respond to internal threats.
Hire, grow and build a high performing team capable of achieving the team's mission.
Proactively ensure the organization is healthy. Coach, mentor, support, and care for the team in a way that enables long term career development, happiness and success at scale.
Influence and align to the organization’s vision and strategy while engaging your team to develop specific multi-year roadmaps, programs and projects.
Focus the team on the execution and delivery of projects and operational priorities. Ensure alignment and resourcing while clearing roadblocks and adjusting to an ever changing business environment.
Define operational metrics, key performance indicators and service level objectives to assure the teams achieves operational excellence.
Work with, partner and influence other teams to solve challenges related to a broad spectrum of threat actors.
Build, cultivate and maintain positive relationships with internal customers to identify and facilitate solutions to increase the impact of the team's work.
Be a broad technical and process subject matter expert regarding the services your team provides.",BA,None,8,0,"C++,Java,Python,PHP",None
357,"Manager, Production Engineering","New York, NY","5+ years of direct management experience in a technology role
BS or MS in Computer Science, Engineering, or a related technical discipline, or equivalent experience
Experience with systems, networking, and troubleshooting
Experience drafting and reviewing code
Experience with building teams and/or organizations, including hiring and managing performance
Communication and cross-collaboration experience",,"Support and lead engineers working on Facebook's products and services, at different layers of the stack, on challenges related to scalability, reliability, performance and efficiency of systems
Understand and contribute to technical architectures, capacity plans, tooling needs, automation plans, product launch plans and create comprehensive plans for prioritizing technical and resourcing challenges
Drive technical architecture discussions, even on subjects you haven't had direct experience working with
Develop lasting partnerships with product management, program management, network engineering, software engineering and other related groups to build and improve our ever-growing large-scale distributed infrastructure and product environment
Empower engineers to develop their careers, matching their strengths with projects tailored to their skill levels, long-term skill development, personalities, and work styles
Help build and enrich an inclusive work environment comprised of people from diverse backgrounds
Assess employee performance on an ongoing basis, address under-performance, and recognize and promote performance
Work closely with dedicated recruiting staff to expand the team including interviewing candidates, participating in conferences/events, and on-boarding new employees
Balance the need to “keep things running” with allocating time to long-term, high-impact projects",BS,None,5,0,None,None
358,Compensation Business Systems Manager,"Austin, TX","8+ years of industry experience in one or more of the following fields: Master Data Management, Information Management, System Administration, Corporate IT
2+ years of People Management experience
Experience in partnering cross-functionally with tech stakeholders to identify solutions that enhance and drive product roadmap
Experience in Excel, including experience building analyses and models
Project management experience, managing multiple IT initiatives, experience understanding and learning software packages and end-to-end business processes
Knowledge in relational databases and SQL","BS/BA in Economics, Finance, Engineering, Computer Science or related discipline
Experience working with Salesforce, Workday and Compensation Systems
Technical, hands-on experience in system administration or IT operations
Ability to adjust to rapidly changing business requirements, make decisions with limited information
Ability to prioritize and manage across multiple, often time-sensitive initiatives
Exceptional organizational, communication, leadership, and customer service skills","Provide the long-term strategy and roadmap to support the business to scale with information by driving the software development lifecycle
Apply deep business knowledge to evolve and develop compensation programs that inform long-term business decisions and priorities
Drive innovation on compensation products and processes to maximize the return and deliver world class user experience and influences design of large scale/complex compensation systems
Build and maintain a positive working relationship across cross-functional teams (Comp Business Partners, Engineering team, HRIS etc.) and regions to identify opportunities and support the business needs
Provide expertise based upon industry trends, new and advancing technology solutions, and best practices with a focus on scale, automation and user experience
Develop detailed, crisp business requirements and user stories that can be used to create product specifications and architecture for the product(s) and application
Partner with engineering teams throughout the product development life cycle and provide consultation and subject matter expertise on compensation
Influence design of large scale/complex compensation systems and strategy
Lead compensation program implementation, change management and measurement of program success
Drive results by tracking key operational metrics, identifying process improvement opportunities and delivering on strategic initiatives
Demonstrate the ability to manage multiple projects and meet stated customer-initiated deadlines while balancing the workload between in-house and outsourced resources
Initiate programs and policies to protect and improve the quality of compensation data, manage the gathering and documentation of technical requirements and processes
Manage the intake of all ad hoc reporting requests
Coordinate all aspects of the business lifecycle and implement a series of change control procedures",Master,BA,8,0,SQL,None
359,"Solutions Engineer, Agency","London, United Kingdom","BA/BS in Computer Science or equivalent degree/experience
Previous experience as a software engineer, solutions architect or partner/sales engineer
Deep understanding of the full web technology stack and/or mobile (TCP/IP, HTTP, HTML, JavaScript, CSS, RESTful API)
Excellent communication skills including experience speaking to a technical and business audiences
Solid software development skills with experience building software developed in (at least one) Python, PHP, C/C++, Ruby, C# or Java
Proficient in a Unix/Linux environment
Willingness and ability to travel approximately 20% of time
The ideal candidate will already have a good understanding of the Facebook APIs, ad tech, and experience building mobile apps",,"Build new products and improve existing ones in collaboration with Facebook Product Engineering Teams
Work closely with the our Agency customers, understanding their unique requirements and environment.
Ship reliable, scalable, efficient code to millions of advertisers, serving up ads to billions of users
Understand our client's business
Identify unique problems and unlock opportunities through bespoke technology solutions
Influence the road map and product development of Facebook Ads to meet our client's business challenges and align with Facebook's business objectives
Coding in a variety of languages, including JavaScript (React, ReactNative), Python, C/C++ and PHP
Deeply understand the Business ecosystem, identify problems and solutions for Businesses
Build technical expertise in Facebook products including Ads API, Pages, Platform and provide consultative guidance to Businesses and ecosystem
Manage relationship with product teams & decision makers at businesses Help launch products including supporting Alpha and Beta programs",BA,None,0,0,"C++,Java,Python,PHP,Ruby,C#",None
360,"Project Engineer, Data Center Design","Fremont, CA","Minimum of four (4) years professional experience in a construction or design related industry.
Minimum three (3) years related work experience in large scale buildings and records management.
Experience with engineering drawings and records management practices and procedures.
Experience with engineering disciplines such as architecture, civil, structural, electrical, mechanical, BMS, etc.
Attention to detail and a focus on good quality reporting and information management.
Proficient computer skills in Microsoft Office Suite, Bluebeam and Project Management software.
Effective communication skills.
Balancing numerous projects and program items in a fast-paced environment with good time management skills.
Leadership, detail oriented, problem solving, initiative and teamwork experience.
Experience and knowledge of all phases of a project from design to closeout.","Critical infrastructure and/or data center experience.
Bachelor’s degree in design or construction related field.
Experience in Engineer, Construction or Architecture firm.
LEED project experience.
Experience in BIM360 Documents, AutoCAD, Revit, Bluebeam, P6, and Visio programs.
Project Management Professional (PMP) Certification.","Coordinate regularly with internal and external teams to resolve project roadblocks.
Prepare and issue design contracts/RFP’s to candidate A/EORs in coordination with Facebook internal engineering resources. Ensure all appropriate design disciplines with work scope are engaged in development.
Initiate and facilitate project design kickoff meetings with A/EOR and other stakeholders/partners to review design intent/basis of design, and align on project deliverables, schedule milestones and expectations.
Initiate and facilitate ongoing meetings with appropriate external and internal stakeholders and design/construction partners, to review and coordinate design deliverables, ensure alignment on project schedule, potential risks, budget and upcoming changes.
Maintain Facebook documentation, such as processes & standards to make available to all stakeholders, internal and external.
Manage relationships and participate in business reviews for external design engineer consultant partnerships (Engineer-of-Record or EOR, vendors, etc.).
Travel to data center sites for project review, process training, system administration, and record drawing validation as required.",None,Bachelor,0,0,None,None
361,Production Engineer,"London, United Kingdom","BS or MS in Computer Science, Engineering, or a related technical discipline or equivalent experience
Extremely sound knowledge of UNIX and TCP/IP network fundamentals
Ability to code really well in at least one language (even if it is not one that Facebook uses)
Ability to rapidly learn new development languages (PHP, Python, C++, and Java are all in heavy use)
Ability to pick up new software, frameworks and APIs quickly
Sharp and tenacious troubleshooting skills: you can fix anything
Ability to perform 'guerrilla capacity planning' for internet service architectures
Good knowledge of basic large-scale internet service architectures (such as load balancing, LAMP, CDN's), even if you haven't worked on one
Configuration and maintenance of common applications such as Apache, memcached, Squid, MySQL, NFS, DHCP, NTP, SSH, DNS, and SNMP
A healthy respect for our motto 'Move Fast and Break Things,' but always make sure you know how to fix them too
Good communications skills
Detail oriented and careful",,"Own back-end services like our Hadoop data warehouses, front-end services like Chat and Newsfeed, infrastructure components like our Memcache infrastructure, and everything in between
Write and review code, develop documentation and capacity plans, and debug the hardest problems, live, on some of the largest and most complex systems in the world
Together with your engineering team, you will share an on-call rotation
Partnered alongside the best engineers in the industry on the coolest stuff around, the code and systems you work on will be in production and used by millions of users all around the world",BS,None,0,0,"C++,Java,Python,Go,PHP,SQL",None
362,Data Engineering Manager,"Menlo Park, CA","6+ years of experience in BI and Data Warehousing.
Experience scaling and managing 3+ person teams.
Communication and leadership experience, with experience initiating and driving projects.
Project management experience.
Data architecture experience.
Experience in SQL or similar languages.
Development experience in at least one object-oriented language (Python, Perl, Java, etc.).
BA/BS in Computer Science, Math, Physics, or other technical fields.","Experience in a consumer web or mobile company.
Experience with data sets, Hive, and data visualization tools.
Advanced degree.","Proactively drive the vision for BI and Data Warehousing across a product vertical, and define and execute on a plan to achieve that vision.
Define the processes needed to achieve operational excellence in all areas, including project management and system reliability.
Build a high-quality BI and Data Warehousing team and design the team to scale.
Build cross-functional relationships with Data Scientists, Product Managers and Software Engineers to understand data needs and deliver on those needs.
Manage data warehouse plans across a product vertical.
Drive the design, building, and launching of new data models and data pipelines in production.
Manage the development of data resources and support new product launches.
Drive data quality across the product vertical and related business areas.
Manage the delivery of high impact dashboards and data visualizations.
Define and manage SLA’s for all data sets and processes running in production.",BA,None,6,0,"Java,Python,SQL",None
363,"Data Engineering Manager, Workplace","London, United Kingdom","6+ years of experience in BI and Data Warehousing.
Experience scaling and managing 5-20 person teams.
Communication and leadership skills, with the ability to initiate and drive projects proactively.
Project management skills.
Data architecture skills.
Experience in SQL or similar languages and development experience in at least one scripting language (Python, Perl, etc.).
BA/BS in Computer Science, Math, Physics, or other technical field.","Experience in a consumer web or mobile company.
Experience with data sets, Hive, and data visualization tools.
Advanced degree.","Proactively drive the vision for BI and Data Warehousing across a product vertical, and define and execute on a plan to achieve that vision.
Define the processes needed to achieve operational excellence in all areas, including project management and system reliability.
Build a high quality BI and Data Warehousing team and design the team to scale.
Build cross functional relationships with Data Scientists, Product Managers and Software Engineers to understand data needs and deliver on those needs.
Manage data warehouse plans across a product vertical. Drive the design, building, and launching of new data models and data pipelines in production.
Manage development of data resources and support new product launches.
Drive data quality across the product vertical and related business areas.
Manage the delivery of high impact dashboards and data visualizations.
Define and manage SLA’s for all data sets and processes running in production.",BA,None,6,0,"Python,SQL",None
364,"Manager, Network Production Engineering","Menlo Park, CA","B.S. in Engineering or equivalent experience
5+ years of Networking, System Administration or Software Engineering experience
2+ years experience managing an engineering team
Experience automating device configuration and management
4+ years experience of Linux system administration
4+ years of experience working with networking protocols including TCP/IP, BGP, MPLS, ISIS, etc.
4+ years working with Cisco and Juniper routers and switches
4+ years software engineering or scripting experience with Python, Perl, Go, or Ruby
Experience designing and maintaining servers, or network equipment
Device configuration and administration automation experience",,"Manage engineers working with our Data Center, Backbone, Hardware and Software networking teams to build, scale, deploy and support our global network infrastructure
Help define, and drive regular development of an aggressive technical roadmap to meet the needs of the team, and partner teams
Be a hands-on manager with deep technical experience in networking, systems and software
Operate in a rapidly evolving environment, adapt quickly to new information, re-prioritize as needed
Manage engineers to strengths, enable, unblock, and grow talent through coaching and technical mentoring
Proactively identify resource needs, participate in recruiting efforts, and hiring to grow the team
Identify, cultivate and grow technical leaders
Responsible for people management of a team of at least 5 engineers, providing performance reviews, continual feedback, coaching and career growth for direct reports",None,None,5,0,"Python,Go,Ruby",None
