title,loc,minimum_qual,preferred_qual,resp,url
"Software Engineer, PhD University Graduate (2019)","Tel Aviv-Yafo, Israel","PhD in Computer Science, related technical discipline or equivalent practical experience.
Experience programming in C++ and/or Java.
Experience in Unix/Linux.","Research experience in Algorithms, Architecture, Artificial Intelligence, Compilers, Database, Data Mining, Distributed Systems, Machine Learning, Networking and/or Systems.
Programming experience in C/C++ and/or Java.
Background in computer science, with demonstrated competencies in data structures, algorithms, and software design.
Demonstrated database design and SQL skills, and/or knowledge of TCP/IP and network programming.
Coding skills in Python or JavaScript/AJAX.","Write server-side code for web-based applications. Develop prototypes quickly and create robust high-volume production applications.
Develop for specialist domains: client application development for Windows/Mac (Chrome, Toolbar, etc.), embedded systems and mobile apps (Android), developer tools (IDEs, large-scale build systems, compilers), infrastructure, internationalization, networking, and more.",https://careers.google.com/jobs/results/139131936619537094-software-engineer-phd-university-graduate-2019/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
"Software Engineer, Engineering Productivity","Seattle, WA, USA","Bachelor's in Computer Science or related technical field or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience in one or more of the following: test automation, refactoring code, test-driven development, build infrastructure, optimizing software, debugging, building tools and testing frameworks.","Master's or PhD degree in Computer Science or related technical field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective-C, Python, JavaScript, or Go.
Scripting skills in Python, Perl, Shell or another common language.","Lead/contribute to engineering efforts from design to implementation, solving complex technical challenges around developer and engineering productivity and velocity.
Design and build advanced automated build, test, and release infrastructure.
Drive adoption of best practices in code health, testing, and maintainability.
Analyze and decompose complex software systems and collaborate with cross-functional teams to influence design for testability.",https://careers.google.com/jobs/results/119672092636390086-software-engineer-engineering-productivity/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
Staff Software Engineer,"Seattle, WA, USA","Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.
8 years of relevant work experience in software development.
Experience in software development using a general purpose programming language (e.g., C/C++, Java, Python, JavaScript, C#, Go, Objective-C, and/or Swift).
Experience architecting and developing distributed systems design.","Master’s degree or PhD in Engineering, Computer Science, or a related technical field.
Hands on technical leadership experience leading project teams and setting technical direction.
Demonstrated expertise working with one or more of the following: Infrastructure, Machine Learning, Mobile Application Development, Embedded Systems, Front End Development, Security and Privacy.
Experience architecting and developing solutions to ambiguous problems with significant impact.
Interest and ability to learn other coding languages.","Help build a team and cultivate innovation by driving cross-collaboration and execution of projects across multiple teams.
Lead designs of major software components, systems, and features.
Design, develop, test, deploy, maintain and improve the software.
Manage individual projects priorities, deadlines and deliverables with your technical expertise.
Mentor and train other team members on design techniques, and coding standards.",https://careers.google.com/jobs/results/111518114404803270-staff-software-engineer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
Staff Software Engineer,"Mountain View, CA, USA","Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.
8 years of relevant work experience in software development.
Experience in software development using a general purpose programming language (e.g., C/C++, Java, Python, JavaScript, C#, Go, Objective-C, and/or Swift).
Experience architecting and developing distributed systems design.","Master’s degree or PhD in Engineering, Computer Science, or a related technical field.
Hands on technical leadership experience leading project teams and setting technical direction.
Demonstrated expertise working with one or more of the following: Infrastructure, Machine Learning, Mobile Application Development, Embedded Systems, Front End Development, Security and Privacy.
Experience architecting and developing solutions to ambiguous problems with significant impact.
Interest and ability to learn other coding languages.","Help build a team and cultivate innovation by driving cross-collaboration and execution of projects across multiple teams.
Lead designs of major software components, systems, and features.
Design, develop, test, deploy, maintain and improve the software.
Manage individual projects priorities, deadlines and deliverables with your technical expertise.
Mentor and train other team members on design techniques, and coding standards.",https://careers.google.com/jobs/results/142494655494136518-staff-software-engineer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
"Software Engineer, Engineering Productivity","Mountain View, CA, USA","Bachelor's in Computer Science or related technical field or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience in one or more of the following: test automation, refactoring code, test-driven development, build infrastructure, optimizing software, debugging, building tools and testing frameworks.","Master's or PhD degree in Computer Science or related technical field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective-C, Python, JavaScript, or Go.
Scripting skills in Python, Perl, Shell or another common language.","Lead/contribute to engineering efforts from design to implementation, solving complex technical challenges around developer and engineering productivity and velocity.
Design and build advanced automated build, test, and release infrastructure.
Drive adoption of best practices in code health, testing, and maintainability.
Analyze and decompose complex software systems and collaborate with cross-functional teams to influence design for testability.",https://careers.google.com/jobs/results/72445869200155334-software-engineer-engineering-productivity/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
"Software Engineer, Front End","Los Angeles, CA, USA","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
1 year of work experience.
Experience in JavaScript, and one or more programming languages including but not limited to: Java, C/C++, Python or Go.
Experience with front end technologies and/or front end frameworks.","Experience developing user-facing software.
Experience with the latest web standards, including HTML5 and CSS3.
Knowledge of web libraries and frameworks such as AngularJS, Polymer, Closure or Backbone.
Strong sense of web design and attuned to the fundamentals of user experience.
Familiarity with the whole web stack, including protocols and web server optimization techniques.
An understanding of the principles of accessibility and can build products that are accessible to users with disabilities.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.
Focus on overall product quality and user experience.
Take initiative and be responsible for technical solutions to data quality and workflow challenges.",https://careers.google.com/jobs/results/105688782390338246-software-engineer-front-end/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
"Software Engineer, Hardware/Software Co-Design","Sunnyvale, CA, USA","Bachelor's degree in Computer Science or Electrical Engineering, or equivalent practical experience.
Experience in C, C++, Linux.
Experience with hardware design (computer architecture and/or chip design).
Experience in compute/storage systems development, software systems development, and/or networking development.","Master's degree or PhD in Computer Engineering, Electrical Engineering, or Computer Science.
Experience with distributed systems, OS/kernel, network system design, and large-scale storage systems.
Experience in Python and good understanding of Object Oriented Programming and Functional Programming.
Experience with silicon architecture and design with the ability to root cause performance bottlenecks in consumer devices.
Experience with interfacing to industry-standard HDL simulators, such as Register Transfer Level code in Verilog.
Experience with non-x86 microarchitectures including low level performance analysis.","Design, develop, test, deploy, maintain, and improve software.
Manage individual project priorities, deadlines, and deliverables.",https://careers.google.com/jobs/results/100301996289860294-software-engineer-hardwaresoftware-co-design/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
"Software Engineer, University Graduate (2020)","Bengaluru, Karnataka, India","BS degree or equivalent practical experience.
Experience working with Unix/Linux, Windows and/or Mac environments, distributed systems, machine learning, information retrieval and TCP/IP.
Experience programming in C, C++, Java and/or Python.",MS degree or PhD.,"Research, conceive and develop software applications to extend and improve on Google's product offering.
Contribute to a wide variety of projects utilising natural language processing, artificial intelligence, data compression, machine learning and search technologies.
Collaborate on scalability issues involving access to massive amounts of data and information.
Solve challenges/problems that you are presented with.",https://careers.google.com/jobs/results/116751789753017030-software-engineer-university-graduate-2020/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
"Software Engineer, Machine Learning","San Francisco, CA, USA","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
2 years of work or educational experience in Machine Learning or Artificial Intelligence.
1 year of relevant work experience, including software development.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++ or Python.","MS or PhD degree in Computer Science, Artificial Intelligence, Machine Learning, or related technical field.
Experience with one or more of the following: Natural Language Processing, text understanding, classification, pattern recognition, recommendation systems, targeting systems, ranking systems or similar.","Participate in cutting edge research in artificial intelligence and machine learning applications.
Develop solutions for real world, large scale problems.",https://careers.google.com/jobs/results/91589053834502854-software-engineer-machine-learning/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
"Software Engineer, PhD University Graduate, Security and Privacy","Sunnyvale, CA, USA","PhD degree in Computer Science, Engineering, Mathematics, or Information Technology, or equivalent practical experience.
Experience in applications security, cryptography, network security, systems security or malware analysis.
Examples of coding in one of the following programming languages including but not limited to: C, C++, Java, JavaScript, or Python.","Experience designing security solutions for operating systems and distributed systems.
Authorization to legally work in the US.
Ability to start in 2020.","Design and apply advanced security techniques.
Develop advanced security and cryptographic systems.
Build large-scale detection systems.",https://careers.google.com/jobs/results/96438312429855430-software-engineer-phd-university-graduate-security-and-privacy/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
"Software Engineer, Security","San Francisco, CA, USA","BS degree in Computer Science or equivalent practical experience.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.","MS or PhD degree in Computer Science.
4 years of experience designing and implementing software systems in Java, C, C++ and/or Python, including experience designing security solutions for operating systems and distributed systems.
Experience in applications security, cryptography, network security, systems security or malware analysis.","Research, design and apply advanced security techniques.
Design and engineer cloud security services and infrastructure.
Develop advanced security and cryptographic systems.
Build large-scale detection systems.",https://careers.google.com/jobs/results/94614909834142406-software-engineer-security/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
"Software Engineer, Security and Privacy (English)","Munich, Germany","BS degree in computer science or equivalent practical experience.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Ability to speak and write in English fluently and idiomatically.","MS or PhD degree in computer science.
Experience designing and implementing software systems in Java, C, C++ and/or Python, including experience designing security solutions for operating systems and distributed systems.
Strong competencies in data structures, algorithms and software design optimized for large-scale distributed software systems.
Experience in application security, cryptography, network security, systems security or malware analysis.","Design and apply advanced security techniques.
Develop advanced security and cryptographic systems.
Build large-scale detection systems.
Design, develop, test, deploy, maintain and enhance security and privacy features in Chrome, Google’s open source web browser.",https://careers.google.com/jobs/results/120412063961883334-software-engineer-security-and-privacy-english/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=4&q=software&sort_by=relevance
"Software Engineer, iOS Video, Google Cloud Platform","Sunnyvale, CA, USA","BS degree in Electrical Engineering, Computer Science or related technical field, or equivalent practical experience.
3 years of experience in Object-Oriented Programming in JavaScript.
Experience working in web application development - developing software systems.","MS degree in Electrical Engineering, Computer Science or related technical field, or equivalent practical experience.
3 years of relevant work experience.
Understanding of core computer science disciplines (data structures, algorithms, etc). Excellent analytical problem-solving skills.
Knowledge of Linux development environment and open source tools/platforms. Understanding of event models, and object oriented plugin and module development.
Familiarity with HTML5 video, MSE and HTLM5 Shaka Player
Coding skills in C, C++, Java and/or Python. Proficiency in JavaScript, HTML and CSS (for Web Player SDKS).","Design, implement and launch reliable and complex iOS SDKs for Cloud Video Services, and extend it with new, ground-breaking features from the planning stage through execution to product launch.
Maintain existing SDKs, add plugins to manage video ads and analytics, manage social widgets and control user experience.
Document activities from design to completion and participate in testing of projects.
Write efficient, reusable and stable code for complex application logic. Use automated testing systems to ensure the perfect user experience at all stages.",https://careers.google.com/jobs/results/73495490487820998-software-engineer-ios-video-google-cloud-platform/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Android","Austin, TX, USA","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
4 years work experience including programming experience in C/C++, Java and/or Python.
Experience on mobile platforms within Linux, Windows and Mac environments.","Experience in API design, performance optimization, client architecture, or tools, in the mobile space.
Expertise in the following areas: performance debugging and optimization of complex workloads, design of performance tools, compiler design and code optimization, high-performance software development techniques, concurrent programming, and/or multi-core computer architectures.
Android SDK knowledge.
Understanding of Android platform and Google Play Services.
Understanding of Android operating system
Demonstrated ability to work with data structures, algorithms and software design optimized for embedded systems.","Manage individual project priorities, deadlines and deliverables.
Design, develop, test, deploy, maintain and enhance software solutions.",https://careers.google.com/jobs/results/104967911321281222-software-engineer-android/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Mobile Applications (Android/iOS)","Tokyo, Japan","BA/BS degree in Computer Science or related technical field or equivalent practical experience.
1 year relevant work experience.
Experience in mobile application development.
Business level communication in English.","Significant programming experience in either Java, Objective-C or C++.
Knowledge of UI frameworks (either Android, iOS, XML), MVP application design and complex, reactive touch based UI.
Technical knowledge of mobile application development (either Android or iOS).
Solid foundation in computer science, with strong competencies in data structures, algorithms and software design optimized for embedded systems.
Specialist domains: Embedded/device systems, mobile optimized websites, mobile web browsers, client application development for Windows/Mac (Chrome, WebKit, etc.), third party libraries for either Android or iOS.","Write mobile applications, create robust high-volume production applications, and develop prototypes quickly.
Develop web applications using Java, Objective-C, or C++.",https://careers.google.com/jobs/results/88589586113929926-software-engineer-mobile-applications-androidios/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, HTML5 Video, Google Cloud Platform","Sunnyvale, CA, USA","BS degree in Electrical Engineering or Computer Science or related technical field or equivalent practical experience.
3 years of hands-on experience working with Object-Oriented Programming in JavaScript.
Experience working with JavaScript, HTML and CSS (for Web Player SDKS).
Experience in web application development, developing large software systems.","MS degree in Electrical Engineering or Computer Science or related technical field or equivalent practical experience.
3 years of relevant work experience, and relevant industry experience. Experience with establishing communication between JavaScript modules and web views.
Understanding of event models, and object oriented plugin and module development.
Understanding of core computer science disciplines (data structures, algorithms, etc.) and Object Oriented Programming skills.
Knowledge of Linux development environment and open source tools/platforms. Familiarity with HTML5 video, MSE, and HTLM5 Shaka Player.","Design, implement and launch complex HTML5 video player (Web/OTT) for cloud video services and extend it with new, ground-breaking features from the planning stage through execution to product launch.
Maintain existing SDKs, add plugins to manage video ads and analytics, manage social widgets and control user experience.
Document activities from design to completion and participate in testing of projects.
Write efficient, reusable and stable code for complex application logic.
Use automated testing systems to ensure the perfect user experience at all stages.",https://careers.google.com/jobs/results/83012863137850054-software-engineer-html5-video-google-cloud-platform/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Developer, Automotive","Munich, Germany","Bachelor's degree in Computer Science, similar technical field or equivalent practical experience
Experience in software development in the automotive industry.
Experience with automotive communication technologies and interfaces.
Software development experience with one or more general purpose programming languages, including Java, C/C++, C#, Objective C, Python, JavaScript, or Go.","Programming experience in Android or Java.
Work experience in software development in the automotive infotainment industry.
Demonstrated analytical skills, and developed verbal and written communication skills.","Develop software for the next generation of the Android Auto functionality and work on the core Android Auto platform, applications, and APIs to enable the automotive use cases.
Contribute to the architecture and development of the core system, extending the functionality beyond the current generation.",https://careers.google.com/jobs/results/114023489087644358-software-developer-automotive/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Embedded Systems and Firmware","Tokyo, Japan","BA/BS degree in Computer Science, Computer Engineering or relevant technical field or equivalent practical experience
2 years of embedded development experience.
1 year of relevant work experience.
Ability to read, write and speak business level English","MS or PhD degree in Computer Science, Computer Engineering, Electrical Engineering or related field
Experience coding in C
Knowledge of Unix/Linux environments and embedded Linux
Knowledge of one or more of the following: embedded systems development/ firmware, operating systems, device drivers, ARM, x86 assembly, system BIOS or hardware/software integration","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.",https://careers.google.com/jobs/results/83734142765671110-software-engineer-embedded-systems-and-firmware/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Engineering Productivity","Munich, Germany","Bachelor's in Computer Science or related technical field or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience in one or more of the following: test automation, refactoring code, test-driven development, build infrastructure, optimizing software, debugging, building tools and testing frameworks.","Master's or PhD degree in Computer Science or related technical field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective-C, Python, JavaScript, or Go.
Scripting skills in Python, Perl, Shell or another common language.","Lead/contribute to engineering efforts from design to implementation, solving complex technical challenges around developer and engineering productivity and velocity.
Design and build advanced automated build, test, and release infrastructure.
Drive adoption of best practices in code health, testing, and maintainability.
Analyze and decompose complex software systems and collaborate with cross-functional teams to influence design for testability.",https://careers.google.com/jobs/results/73610252013970118-software-engineer-engineering-productivity/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Engineering Productivity","Warsaw, Poland","Bachelor's in Computer Science or related technical field or equivalent practical experience.
Software development experience in one or more general purpose programming languages.
Experience in one or more of the following: test automation, refactoring code, test-driven development, build infrastructure, optimizing software, debugging, building tools and testing frameworks.","Master's or PhD degree in Computer Science or related technical field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective-C, Python, JavaScript, or Go.
Scripting skills in Python, Perl, Shell or another common language.","Lead/contribute to engineering efforts from design to implementation, solving complex technical challenges around developer and engineering productivity and velocity.
Design and build advanced automated build, test, and release infrastructure.
Drive adoption of best practices in code health, testing, and maintainability.
Analyze and decompose complex software systems and collaborate with cross-functional teams to influence design for testability.",https://careers.google.com/jobs/results/79412374873744070-software-engineer-engineering-productivity/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Machine Learning",Singapore,"PhD in Computer Science, related technical discipline or equivalent practical experience.
5 years of experience in the Machine Learning field.
Experience with coding in data structures, algorithms and software design.
Research experience in Artificial Intelligence, Distributed Systems, Machine Learning, Data Mining, Natural Language Processing, Image Classification, Spam Fighting or related fields.","Experience programming in the following languages: C++, and/or Python.
Experience with large scale distributed systems design.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.
Work on on-device machine learning models for health and wellness.",https://careers.google.com/jobs/results/127455535449416390-software-engineer-machine-learning/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Android Kernel & Systems","London, UK","BA/BS degree in Computer Science, Computer Engineering or relevant technical field or equivalent practical experience
Experience working with operating systems, computer architecture, embedded systems and Linux/Unix kernel, etc.
Experience coding in C or C++","Experience with ARM/ARM64 architecture, compilers, firmware, Operating systems, Linux kernel, filesystems / storage, device drivers, performance tuning, networking, tools, tests, virtualization, platform libraries, etc.
Experience developing and designing large software systems.
Knowledge of the Android platform.
Extensive experience programming in C, C++ or Python","Design, develop and roll out features for billions of users
Work on core system components including Bootloaders, Memory -Management, Updates and native HAL interfaces
Collaborate to support the Android System image for next generation devices
Contribute upstream to various open source projects, such as Linux Kernel, AOSP, libabigail, LLVM, LTP
Create and maintain a reliable, secure and robust foundation for the Android software ecosystem",https://careers.google.com/jobs/results/74239172665057990-software-engineer-android-kernel-systems/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Consumer Hardware Services","Mountain View, CA, USA","Bachelor's degree in Computer Science, related technical field, or equivalent practical experience.
2 years of experience in software development.
Experience programming in one or more of the following: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Experience in distributed data processing and Consumer Electronics.","6 years of experience developing, deploying, and maintaining robust distributed backend systems.
Experience with Kubernetes, Docker, and Service-Oriented Architecture.
Experience writing services in a cloud-based system (e.g., Google Cloud Platform).","Provide technical expertise within a talented group of software engineers.
Develop, deploy, debug, and maintain highly reliable, scalable, and maintainable services on Google Cloud Platform (GCP) and elsewhere.
Perform design and code reviews and reinforce great development practices.
Write exemplary clear, maintainable, tested, and performant code.",https://careers.google.com/jobs/results/142382092991242950-software-engineer-consumer-hardware-services/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Machine Learning, GPay",Singapore,"Bachelor's and/or Master's Degree in Computer Science, related technical discipline, or equivalent practical experience
3 years of experience in the Machine Learning field.
Experience with one or more general purpose programming languages including but not limited to: Java, C/C++ or Python
Software development experience.","PhD in Computer Science or a related technical field.
5 years of relevant work experience.
Background in Machine Learning, from either academic research work and/or experience building ML models.","Analyze data collected during studies for statistical insights.
Build new Machine Learning models, new data pipelines, features and metrics.
Design experiments and metrics.
Work with product teams in GPay to integrate our models
Create demos that leverage our models.",https://careers.google.com/jobs/results/102827574498861766-software-engineer-machine-learning-gpay/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
Staff Software Developer,"Waterloo, ON, Canada","Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.
8 years of relevant work experience in software development.
Experience in software development using a general purpose programming language (e.g., C/C++, Java, Python, JavaScript, C#, Go, Objective-C, and/or Swift).
Experience architecting and developing distributed systems design.","Master’s degree or PhD in Engineering, Computer Science, or a related technical field.
Hands on technical leadership experience leading project teams and setting technical direction.
Experience architecting and developing solutions to ambiguous problems with significant impact.
Demonstrated expertise working with one or more of the following: Infrastructure, Machine Learning, Mobile Application Development, Embedded Systems, Front End Development, Security and Privacy.
Interest and ability to learn other coding languages.","Help build a team and cultivate innovation by driving cross-collaboration and execution of projects across multiple teams.
Lead designs of major software components, systems, and features.
Design, develop, test, deploy, maintain and improve the software.
Manage individual projects priorities, deadlines and deliverables with your technical expertise.
Mentor and train other team members on design techniques, and coding standards.",https://careers.google.com/jobs/results/140386891703689926-staff-software-developer/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Embedded Systems","Taipei, Taiwan","Master's degree in Electrical Engineering, Computer Science, relevant technical field or equivalent practical experience.
Experience coding in C or C++.","Experience in ARM SoC architecture and standard interfaces, bare-metal programming, bootloader and firmware.
Experience with Linux kernel and device drivers and Android system programming.
Experience in software/hardware integration.
Image processing software/hardware architecture experience.
Verification experience using FPGAs and/or emulation platforms.","Design and implement firmware for mobile systems.
Design and implement tools for system bring-up, debugging and performance/power evaluation.
Design and implement functional tests to validate the correctness and performance of individual components and system in pre- and post-silicon environments.",https://careers.google.com/jobs/results/82962697919832774-software-engineer-embedded-systems/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Front End Software Engineer, YouTube","San Bruno, CA, USA","BA/BS in Computer Science or related technical field or equivalent practical experience.
Experience with AJAX, HTML and CSS.
Experience with JavaScript, C++, or Python.
Web application development experience.","Experience with one or more general purpose programming languages including but not limited to: Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Experience developing or designing large software systems.
Experience in GWT and Flash.
Understanding of the principles of accessibility and ability to build products that are accessible to users with disabilities.
Strong written and verbal communication skills, with the ability to create strong working relationships with cross-functional teams.","Design, implement and launch highly-visible, partner and end user-facing features.
Develop new ways for YouTube partners to manage and monetize content.
Design and develop large scale web applications.",https://careers.google.com/jobs/results/120739306110100166-front-end-software-engineer-youtube/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
Software Engineering Lead,"Tokyo, Japan","Bachelor's degree in Computer Science, related technical field, or equivalent practical experience.
10 years of experience in technical leadership and people management.
Experience programming in one of the following: Java, C++, or Python.
Ability to speak and write in English fluently and idiomatically.","Master's degree or PhD in Computer Science or a closely related degree.
20 years of relevant industry experience.
10 years of experience in technical leadership and people management experience, managing teams of 20 or more developers/managers.
Experience in large-scale systems design.","Manage large and/or multiple teams of managers and software engineers across regions.
Drive large-scale and highly complex technical projects and provide leadership in an innovative and fast-paced environment.
Be responsible for the overall planning, execution, and success of complex technical projects.
Contribute technically to projects. This includes architecture design, design and product roadmap discussions, and code reviews.
Work closely with the Product Management team to ensure we're building the best products.",https://careers.google.com/jobs/results/85369546791101126-software-engineering-lead/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Core Systems","Cambridge, MA, USA","Bachelor's degree in Computer Science or equivalent practical experience.
1 year of relevant work experience.
Software development experience in Java or C++ .
Experience with mobile application development or Android framework development.","PhD degree in Computer Science or related technical field.
Experience with Native Development Kit (NDK) or Unity.
Detailed knowledge of mobile ecosystems, such as Android Studio, Gradle, etc.
Interest in launching and iterating on products, and excitement to immerse yourself in the challenges facing 3rd party mobile developers.","Help developers increase their app stability.
Improve the Crashlytics SDKs and client-side developer tools, such as Gradle, for Android, NDK, and Unity.
Contribute to a cross-functional team that values shipping and puts the customer experience front and center.
Improve the Crashlytics and Firebase ecosystem. Help design and build the newest Firebase SDKs.",https://careers.google.com/jobs/results/141296187819860678-software-engineer-core-systems/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
"Software Engineer, Cloud Health and Life Sciences","Waterloo, ON, Canada","Bachelor's degree in Computer Science, similar technical field of study or equivalent practical experience.
Experience with one or more general purpose programming languages such as Java, C/C++, C#, Objective C, Python, JavaScript, or Go.
Software development experience with medical imaging or health records.
Relevant experience with cloud computing or cloud systems.","Master’s or PhD degree in computer science, similar technical related field or equivalent practical experience.
Software development experience with bioinformatics.
Experience developing software for the healthcare industry.
Ability and interest to learn other coding languages as needed.
Excellent verbal and written communication skills","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.
Display leadership and enthusiasm for new problems as we continue to push technology forward.
Develop next-generation technologies that will accelerate the healthcare industry.",https://careers.google.com/jobs/results/131095359909700294-software-engineer-cloud-health-and-life-sciences/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
Software Engineer (English),"Beijing, China","Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.
5 years of experience with one or more general purpose programming languages including but not limited to: Java, C/C++, Python, Objective C, JavaScript, or Go.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.
Ability to speak and write in English fluently and idiomatically.","Master’s, PhD degree, further education or experience in engineering, computer science or other technical related field.
Interest and ability to learn other coding languages as needed.
Experience with one or more of the following domains: system infrastructure, mobile application development, machine learning, artificial intelligence, embedded, etc.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.",https://careers.google.com/jobs/results/129289108527686342-software-engineer-english/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
Software Engineer (English),"Shanghai, China","Bachelor's degree in Computer Science, similar technical field of study, or equivalent practical experience.
5 years of experience with one or more general purpose programming languages including but not limited to: Java, C/C++, Python, Objective C, JavaScript, or Go.
Experience working with two or more from the following: web application development, Unix/Linux environments, mobile application development, distributed and parallel systems, machine learning, information retrieval, natural language processing, networking, developing large software systems, and/or security software development.
Ability to speak and write in English fluently and idiomatically.","Master’s, PhD degree, further education or experience in engineering, computer science or other technical related field.
Interest and ability to learn other coding languages as needed.","Design, develop, test, deploy, maintain and improve software.
Manage individual project priorities, deadlines and deliverables.",https://careers.google.com/jobs/results/124099413644583622-software-engineer-english/?company=Google&company=YouTube&employment_type=FULL_TIME&hl=en_US&jlo=en_US&page=5&q=software&sort_by=relevance
